model,backbone_ms,action_head_ms,total_ms
pi05,32.024,64.875,96.899
pi05,34.193,65.367,99.561
pi05,31.746,64.529,96.275
pi05,31.736,65.354,97.091
pi05,31.798,66.785,98.584
pi05,32.363,65.687,98.050
pi05,34.887,66.530,101.417
pi05,34.305,64.376,98.682
pi05,34.298,64.420,98.718
pi05,35.327,64.918,100.244
pi05,32.877,65.572,98.449
pi05,34.333,67.111,101.444
pi05,34.904,64.323,99.227
pi05,32.630,63.982,96.612
pi05,32.253,65.139,97.392
pi05,32.173,64.961,97.134
pi05,34.436,64.851,99.286
pi05,33.957,65.557,99.514
pi05,33.605,65.353,98.958
pi05,32.761,64.955,97.716
pi05,32.802,64.652,97.454
pi05,32.777,65.061,97.838
pi05,32.463,64.389,96.852
pi05,34.553,66.106,100.659
pi05,32.689,65.479,98.168
pi05,31.875,66.797,98.671
pi05,31.885,67.000,98.885
pi05,31.725,64.678,96.403
pi05,31.742,65.078,96.820
pi05,34.321,66.294,100.615
pi05,34.281,67.537,101.818
pi05,34.290,66.427,100.718
pi05,32.626,66.299,98.925
pi05,32.787,66.098,98.884
pi05,31.783,64.195,95.979
pi05,33.990,65.645,99.635
pi05,32.635,67.126,99.762
pi05,32.190,65.394,97.584
pi05,32.220,65.022,97.242
pi05,32.085,64.591,96.676
pi05,31.834,64.849,96.683
pi05,34.685,66.870,101.555
pi05,34.320,65.319,99.639
pi05,34.278,64.927,99.205
pi05,34.295,66.977,101.273
pi05,34.322,65.931,100.252
pi05,34.354,65.307,99.661
pi05,34.315,66.472,100.787
pi05,32.130,65.176,97.306
pi05,32.091,64.873,96.965
pi05,31.803,64.583,96.386
pi05,31.800,64.827,96.627
pi05,31.775,64.731,96.506
pi05,32.388,68.023,100.411
pi05,34.426,67.808,102.234
pi05,32.300,66.939,99.240
pi05,32.073,67.023,99.096
pi05,31.888,66.486,98.374
pi05,33.047,67.438,100.486
pi05,31.959,66.085,98.043
pi05,34.287,65.093,99.380
pi05,34.286,64.975,99.261
pi05,34.274,65.137,99.411
pi05,34.975,64.571,99.546
pi05,33.923,65.573,99.496
pi05,32.740,65.414,98.153
pi05,34.966,64.565,99.530
pi05,32.929,64.803,97.732
pi05,33.037,64.192,97.229
pi05,32.328,64.545,96.873
pi05,31.765,64.676,96.440
