model,backbone_ms,action_head_ms,total_ms
pi05,32.242,68.664,100.906
pi05,34.529,68.106,102.635
pi05,33.696,67.702,101.397
pi05,32.828,68.380,101.208
pi05,32.213,68.059,100.272
pi05,32.204,68.179,100.383
pi05,35.367,67.961,103.327
pi05,34.447,69.026,103.473
pi05,32.756,68.570,101.326
pi05,32.749,68.478,101.227
pi05,32.289,68.220,100.510
pi05,32.242,68.292,100.535
pi05,35.884,67.774,103.658
pi05,34.380,68.369,102.749
pi05,34.377,68.332,102.710
pi05,34.364,68.658,103.022
pi05,33.058,67.374,100.432
pi05,32.235,67.511,99.746
pi05,32.121,68.338,100.459
pi05,31.898,68.553,100.451
pi05,31.858,68.294,100.152
pi05,31.854,67.872,99.727
pi05,31.989,67.492,99.482
pi05,31.952,67.860,99.812
pi05,35.426,68.360,103.785
pi05,33.244,68.758,102.002
pi05,31.927,70.625,102.553
pi05,31.918,68.882,100.800
pi05,34.385,68.636,103.022
pi05,33.939,67.870,101.810
pi05,32.444,68.266,100.710
pi05,34.353,70.021,104.375
pi05,34.381,70.569,104.950
pi05,32.785,67.989,100.773
pi05,32.053,68.766,100.819
pi05,32.058,67.274,99.332
pi05,35.107,68.153,103.261
pi05,33.499,70.392,103.891
pi05,33.990,68.820,102.811
pi05,33.723,67.651,101.374
pi05,34.357,68.904,103.261
pi05,32.430,67.687,100.116
pi05,34.829,68.046,102.875
pi05,35.098,68.013,103.111
pi05,32.371,68.814,101.185
pi05,31.935,70.037,101.972
pi05,32.744,67.398,100.142
pi05,32.602,68.395,100.997
pi05,34.641,68.334,102.975
pi05,32.705,68.879,101.584
pi05,32.750,71.013,103.763
pi05,33.511,70.625,104.135
pi05,34.352,70.163,104.515
pi05,34.574,67.840,102.414
pi05,32.309,69.027,101.337
pi05,34.544,68.607,103.152
pi05,32.232,68.473,100.704
pi05,32.633,67.862,100.495
pi05,31.886,68.105,99.991
pi05,31.860,67.954,99.813
pi05,35.314,68.100,103.414
pi05,34.363,68.467,102.830
pi05,34.381,70.121,104.502
pi05,35.086,68.174,103.260
pi05,32.357,68.710,101.066
pi05,32.110,67.924,100.034
pi05,32.745,68.510,101.255
pi05,32.731,69.653,102.384
pi05,34.188,67.946,102.134
pi05,31.806,68.326,100.132
pi05,31.868,67.332,99.200
pi05,31.848,67.904,99.751
pi05,34.417,68.185,102.602
pi05,34.371,68.795,103.166
pi05,34.354,69.445,103.799
pi05,35.153,67.332,102.485
pi05,32.765,67.917,100.682
pi05,32.161,67.587,99.748
pi05,32.514,68.536,101.050
pi05,32.585,68.796,101.381
pi05,31.976,68.903,100.879
pi05,31.979,68.503,100.482
pi05,32.425,67.701,100.126
pi05,31.987,67.482,99.468
pi05,35.546,70.461,106.007
pi05,32.802,70.896,103.698
pi05,32.734,67.545,100.279
pi05,32.867,68.501,101.368
pi05,34.353,68.462,102.815
pi05,33.588,67.976,101.564
pi05,32.137,68.353,100.490
pi05,37.008,70.138,107.146
pi05,31.806,68.297,100.104
pi05,32.705,68.205,100.909
pi05,31.813,67.651,99.464
pi05,34.363,67.775,102.138
pi05,34.418,68.558,102.976
pi05,33.549,69.753,103.302
pi05,32.825,68.808,101.632
pi05,32.925,67.098,100.023
pi05,34.361,67.786,102.147
pi05,34.385,67.414,101.799
